Transportadora;Cidade;Percentual;Minimo;Limite Peso;Valor Excedente;Ped·gio;Cidade Redesp.;Transp. Redesp.;% Red.;Min. Redespacho (R$);Prazo;Hor·rios
BOA ESPERANCA;Agua Azul do Norte;3,00%;60;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Cana„ dos Caraj·s;3,00%;60;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;ConceiÁ„o do Araguaia;3,00%;60;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Rio Maria;3,00%;60;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Xinguara;3,00%;60;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;CurionÛpolis;3,00%;66;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Eldorado dos Caraj·s;3,00%;66;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Ouril„ndia do Norte;3,00%;66;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Parauapebas;3,00%;66;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Tucum„;3,00%;66;;;25;;;;;2;10:00 / 18:00
BOA ESPERANCA;Bom Jesus do Tocantins;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Jacund·;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Marab·;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Nova Ipixuna;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Novo Repartimento;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Rondon;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Carolina;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Estreito;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Porto Franco;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Rondon;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;S„o Felix do Xingu  ;3,50%;75;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;aÁail„ndia;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Anapu;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Balsas;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Breu Branco;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Buriticupu;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Dom Eliseu;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;GoianÈsia do Par·;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Imperatriz;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Ipixuna;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Itinga;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Mocajuba;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Moju;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Novo Repartimento;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Pacaj·;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Tail„ndia;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;TomÈ-aÁu;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;TucuruÌ;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;UlianÛpolis ;3,50%;80;;;25;;;;;3;10:00 / 18:00
BOA ESPERANCA;Altamira;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Aurora do Par·;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Bacabal;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;BelÈm;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;BraganÁa;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Brejo;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Bujar˙;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Chapadinha;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Camet·;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Cana Brava;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Capanema;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Capit„o poÁo;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Castanhal;4,00%;90;;;25;;;;;4;10:00 / 18:00
BOA ESPERANCA;Castanhal;4,00%;90;;;;CAPITAO POCO;SF Transportes;3,00%;30;5;10:00 / 18:00
BOA ESPERANCA;Castanhal;4,00%;90;;;;CASTANHAL;SF Transportes;1,50%;20;5;10:00 / 18:00
