Transportadora;Cidade;Percentual;Minimo;Limite Peso;Valor Excedente;Redespacho;% Redespacho;Pedagio;prazo
RA ENCOMENDAS;ABEL FIGUEREDO;2,5%;25;;;;;;1
RA ENCOMENDAS;AURORA DO PA;3,5%;50;;;;;;2
RA ENCOMENDAS;AUGUSTO CORREA;4,5%;50;;;;;;3
RA ENCOMENDAS;BOM JESUS ;2,5%;20;;;;;;1
RA ENCOMENDAS;BRAGANÇA;4,5%;50;;;;;;3
RA ENCOMENDAS;BENEVIDES;4,5%;50;;;;;;3
RA ENCOMENDAS;BONITO;4,5%;50;;;;;;3
RA ENCOMENDAS;CASTANHAL;4,0%;50;;;;;;2
RA ENCOMENDAS;CAPANEMA;4,5%;50;;;;;;3
RA ENCOMENDAS;CAPITÃO POÇO;4,5%;50;;;;;;3
RA ENCOMENDAS;CURUÇÁ;4,5%;50;;;;;;3
RA ENCOMENDAS;CURUPATI;4,5%;50;;;;;;3
RA ENCOMENDAS;CACHOEIRA DO PIRIÁ;4,5%;50;;;;;;3
RA ENCOMENDAS;CONCORDIA DO PA;4,5%;50;;;;;;3
RA ENCOMENDAS;COLARES;4,5%;50;;;;;;3
RA ENCOMENDAS;DOM ELISEU;2,5%;35;;;;;;2
RA ENCOMENDAS;GARRFÃO DO NORTE;4,5%;50;;;;;;3
RA ENCOMENDAS;IGARAPÉ-AÇU;4,5%;50;;;;;;3
RA ENCOMENDAS;IRITUIA;4,5%;50;;;;;;3
RA ENCOMENDAS;INHANGAPI;4,5%;50;;;;;;3
RA ENCOMENDAS;IPIXUNA DO PA;3,0%;50;;;;;;2
RA ENCOMENDAS;MAE DO RIO;4,0%;50;;;;;;2
RA ENCOMENDAS;MARAPANIM;4,5%;50;;;;;;3
RA ENCOMENDAS;MAGALHÃES BARATA;4,5%;50;;;;;;3
RA ENCOMENDAS;MARACANÃ;4,5%;50;;;;;;3
RA ENCOMENDAS;NOVA ESPERANÇA;4,5%;50;;;;;;3
RA ENCOMENDAS;NOVA TIMBOTEUA;4,5%;50;;;;;;3
RA ENCOMENDAS;OURÉM;4,5%;50;;;;;;3
RA ENCOMENDAS;PARAGOMINAS;3,0%;55;;;;;;2
RA ENCOMENDAS;PRIMAVERA;4,5%;50;;;;;;3
RA ENCOMENDAS;QUATIPURU;4,5%;50;;;;;;3
RA ENCOMENDAS;RONDON DO PA;2,5%;30;;;;;;1
RA ENCOMENDAS;SANTA MARIA DO PA;4,0%;50;;;;;;2
RA ENCOMENDAS;SANTA IZABEL;4,5%;50;;;;;;3
RA ENCOMENDAS;SANTO ANTºDO TAUÁ;4,5%;50;;;;;;3
RA ENCOMENDAS;SÃO MIGUEL DO GUAMÁ;4,0%;70;;;;;;2
RA ENCOMENDAS;SÃ CAETANO DE ODIVELA;4,5%;50;;;;;;3
RA ENCOMENDAS;SALINOPOLIS;4,5%;50;;;;;;3
RA ENCOMENDAS;SANTAREM NOVO;4,5%;50;;;;;;3
RA ENCOMENDAS;SÃO FRANCISCO DO PA;4,5%;50;;;;;;3
RA ENCOMENDAS;SÃO DOMINGOSDO CAPIM;4,5%;50;;;;;;3
RA ENCOMENDAS;SÃO JOÃO DO PIRABAS;4,5%;50;;;;;;3
RA ENCOMENDAS;SANTA LUZIA DO PARÁ;4,5%;50;;;;;;3
RA ENCOMENDAS;TRACATEUA;4,5%;50;;;;;;3
RA ENCOMENDAS;TOME AÇU;4,5%;50;;;;;;3
RA ENCOMENDAS;TERRA ALTA;4,5%;50;;;;;;3
RA ENCOMENDAS;ULIANOPOLIS;3,0%;45;;;;;;2
RA ENCOMENDAS;VISEU;4,5%;50;;;;;;3
