Transportadora;Cidade;Percentual;Minimo;Limite Peso;Valor Excedente;Redespacho;% Redespacho;Pedagio;prazo;horarios
TNORTE;Abaetetuba;5%;70;;;;;;5;11:00
TNORTE;Abel Figueredo;3%;70;;;;;;3;11:00
TNORTE;Acará;5%;70;;;;;;5;11:00
TNORTE;Afuá;7%;120;;;;;;15;11:00
TNORTE;Água Azul do Norte;3%;70;;;;;;3;11:00
TNORTE;Alenquer;7%;120;;;;;;10;11:00
TNORTE;Almerim;7%;90;;;;;;7;11:00
TNORTE;Altamira;6%;120;;;;;;7;11:00
TNORTE;Anajás;7%;90;;;;;;7;11:00
TNORTE;Ananindeua;3%;70;;;;;;3;11:00
TNORTE;Anapú;7%;120;;;;;;8;11:00
TNORTE;Augusto Corrêa;5%;70;;;;;;5;11:00
TNORTE;Aurora do Pará;5%;70;;;;;;5;11:00
TNORTE;Aveiro;7%;120;;;;;;13;11:00
TNORTE;Bagre;7%;90;;;;;;6;11:00
TNORTE;Baião;5%;70;;;;;;5;11:00
TNORTE;Bannach;3%;70;;;;;;3;11:00
TNORTE;Barcarena;5%;70;;;;;;5;11:00
TNORTE;Belém;3%;70;;;;;;3;11:00
TNORTE;Belém (Mosqueiro);3%;70;;;;;;3;11:00
TNORTE;Belterra;7%;120;;;;;;14;11:00
TNORTE;Benevides;3%;70;;;;;;4;11:00
TNORTE;Bom Jesus do Tocatins;3%;70;;;;;;5;11:00
TNORTE;Bonito;5%;70;;;;;;3;11:00
TNORTE;Bragança;5%;70;;;;;;5;11:00
TNORTE;Brasil Novo;7%;120;;;;;;8;11:00
TNORTE;Brejo Grande do Araguaia;3%;70;;;;;;3;11:00
TNORTE;Breu Branco;3%;70;;;;;;3;11:00
TNORTE;Breves;7%;90;;;;;;6;11:00
TNORTE;Bujaru;5%;70;;;;;;5;11:00
TNORTE;Cachoeira do Arari;7%;70;;;;;;6;11:00
TNORTE;Cachoeira do Piriá;5%;70;;;;;;5;11:00
TNORTE;Cametá;5%;70;;;;;;5;11:00
TNORTE;Canaã dos Carajás;3%;70;;;;;;3;11:00
TNORTE;Capanema;5%;70;;;;;;5;11:00
TNORTE;Capitão Poço;5%;70;;;;;;5;11:00
TNORTE;Castanhal;4%;70;;;;;;4;11:00
TNORTE;Chaves;7%;120;;;;;;15;11:00
TNORTE;Colares;5%;50;;;;;20;5;11:00
TNORTE;Conceição do Araguaia;3%;70;;;;;;3;11:00
TNORTE;Concórdia do Pará;5%;70;;;;;;5;11:00
TNORTE;Cumaru do Norte;3%;70;;;;;;3;11:00
TNORTE;Curionópolis;3%;70;;;;;;3;11:00
TNORTE;Curralinho;7%;90;;;;;;6;11:00
TNORTE;Curuá;7%;120;;;;;;13;11:00
TNORTE;Curuçá;5%;50;;;;;20;5;11:00
TNORTE;Dom Eliseu;5%;70;;;;;;5;11:00
TNORTE;Eldorado dos Carajás;3%;70;;;;;;3;11:00
TNORTE;Faro;7%;120;;;;;;13;11:00
TNORTE;Floresta do Araguaia;3%;70;;;;;;3;11:00
TNORTE;Garrafão do Norte;5%;70;;;;;;5;11:00
TNORTE;Goianésia do Pará;3%;70;;;;;;3;11:00
TNORTE;Gurupá;7%;90;;;;;;9;11:00
TNORTE;Igarapé-Açu;5%;70;;;;;;5;11:00
TNORTE;Igarapé-Miri;5%;70;;;;;;5;11:00
TNORTE;Inhangapi;5%;70;;;;;;5;11:00
TNORTE;Ipixuna do Pará;5%;70;;;;;;5;11:00
TNORTE;Irituia;5%;70;;;;;;5;11:00
TNORTE;Itaituba;7%;120;;;;;;10;11:00
TNORTE;Itupiranga;3%;70;;;;;;3;11:00
TNORTE;Jacareacanga;7%;120;;;;;;15;11:00
TNORTE;Jacundá;3%;70;;;;;;3;11:00
TNORTE;Juruti;7%;120;;;;;;10;11:00
TNORTE;Limoeiro do Ajuru;7%;90;;;;;;6;11:00
TNORTE;Mãe do Rio;5%;70;;;;;;5;11:00
TNORTE;Magalhães Barata;5%;70;;;;;;5;11:00
TNORTE;Marabá;3%;70;;;;;;1;11:00
TNORTE;Maracanã;5%;70;;;;;;5;11:00
TNORTE;Marapanim;5%;50;;;;;20;5;11:00
TNORTE;Marituba;3%;70;;;;;;3;11:00
TNORTE;Medicilandia;7%;120;;;;;;9;11:00
TNORTE;Melgaço;7%;90;;;;;;6;11:00
TNORTE;Mocajuba;5%;70;;;;;;5;11:00
TNORTE;Moju;5%;70;;;;;;3;11:00
TNORTE;Mojui dos Campos;7%;120;;;;;;10;11:00
TNORTE;Monte Alegre;7%;120;;;;;;10;11:00
TNORTE;Muaná;7%;90;;;;;;6;11:00
TNORTE;Nova Esperança do Piriá;5%;70;;;;;;5;11:00
TNORTE;Nova Ipixuna;3%;70;;;;;;5;11:00
TNORTE;Nova Timboteua;5%;70;;;;;;5;11:00
TNORTE;Novo Progresso;7%;120;;;;;;15;11:00
TNORTE;Novo Repartimento;7%;120;;;;;;7;11:00
TNORTE;Obidos;7%;120;;;;;;10;11:00
TNORTE;Oeiras do Pará;7%;90;;;;;;6;11:00
TNORTE;Oriximiná;7%;120;;;;;;10;11:00
TNORTE;Ourém;5%;70;;;;;;5;11:00
TNORTE;Ourilândia do Norte;3%;70;;;;;;3;11:00
TNORTE;Pacajá;7%;120;;;;;;8;11:00
TNORTE;Palestina do Pará;3%;70;;;;;;3;11:00
TNORTE;Paragominas;5%;70;;;;;;5;11:00
TNORTE;Parauapebas;3%;70;;;;;;2;11:00
TNORTE;Pau-d'Arco;3%;70;;;;;;3;11:00
TNORTE;Peixe Boi;5%;70;;;;;;5;11:00
TNORTE;Piçarra;3%;70;;;;;;3;11:00
TNORTE;Placas;7%;120;;;;;;10;11:00
TNORTE;Ponta de Pedras;7%;90;;;;;;6;11:00
TNORTE;Portel;7%;90;;;;;;6;11:00
TNORTE;Porto de Moz;7%;90;;;;;;8;11:00
TNORTE;Prainha;7%;120;;;;;;15;11:00
TNORTE;Primavera;5%;70;;;;;;5;11:00
TNORTE;Quatipuru;5%;70;;;;;;5;11:00
TNORTE;Redenção;2%;50;;;;;;1;11:00
TNORTE;Rio Maria;3%;70;;;;;;3;11:00
TNORTE;Rondon do Pará;3%;70;;;;;;5;11:00
TNORTE;Rurópolis;7%;120;;;;;;10;11:00
TNORTE;Salinópolis ;5%;70;;;;;;5;11:00
TNORTE;Salvaterra;7%;90;;;;;;6;11:00
TNORTE;Santa Bárbara do Pará;5%;70;;;;;;5;11:00
TNORTE;Santa Cruz do Arari;7%;90;;;;;;8;11:00
TNORTE;Santa Isabel do Pará;3%;70;;;;;;5;11:00
TNORTE;Santa Maria das Barreiras;3%;70;;;;;;3;11:00
TNORTE;Santa Maria do Pará;5%;70;;;;;;5;11:00
TNORTE;Santa Luzia do Pará;5%;70;;;;;;5;11:00
TNORTE;Santana do Araguaia;3%;70;;;;;;3;11:00
TNORTE;Santarém;6%;120;;;;;;8;11:00
TNORTE;Santarém Novo;5%;70;;;;;;5;11:00
TNORTE;Santo Antônio do Tauá;5%;70;;;;;;5;11:00
TNORTE;São Caetano de Odivelas;5%;50;;;;;20;5;11:00
TNORTE;São Domingos do Araguaia;3%;70;;;;;;3;11:00
TNORTE;São Domingos do Capim;5%;70;;;;;;5;11:00
TNORTE;São Félix do Xingu;3%;70;;;;;;3;11:00
TNORTE;São Francisco do Pará;5%;70;;;;;;5;11:00
TNORTE;São Geraldo do Araguaia;3%;70;;;;;;3;11:00
TNORTE;São João da Ponta;5%;70;;;;;;5;11:00
TNORTE;São João de Pirabas;5%;70;;;;;;5;11:00
TNORTE;São João do Araguaia;3%;70;;;;;;3;11:00
TNORTE;São Miguel do Guamá;5%;70;;;;;;5;11:00
TNORTE;São Sebastião de Boa Vista;7%;90;;;;;;6;11:00
TNORTE;Sapucaia;3%;70;;;;;;3;11:00
TNORTE;Senador José Porfírio;7%;120;;;;;;15;11:00
TNORTE;Soure;7%;90;;;;;;6;11:00
TNORTE;Tailândia;3%;70;;;;;;3;11:00
TNORTE;Terra Alta;5%;70;;;;;;5;11:00
TNORTE;Terra Santa;7%;120;;;;;;15;11:00
TNORTE;Tomé-Açu;5%;70;;;;;;5;11:00
TNORTE;Tracuateua;5%;70;;;;;;5;11:00
TNORTE;Tucumã;3%;70;;;;;;3;11:00
TNORTE;Tucuruí;3%;70;;;;;;3;11:00
TNORTE;Ulianópolis;5%;70;;;;;;5;11:00
TNORTE;Uruará;7%;120;;;;;;9;11:00
TNORTE;Vigia;5%;50;;;;;;5;11:00
TNORTE;Viseu;6%;95;;;;;;7;11:00
TNORTE;Vitória do Xingu;7%;120;;;;;;9;11:00
TNORTE;Xinguara;3%;70;;;;;;3;11:00
